Rank,Player,Fantasy Points,Fantasy Points/Game,Fumbles Lost,Games Played (Advanced),Position,player_id,Year,Yards/Attempt (Basic),Rushing TD (Basic),Yards/Reception (Basic),Receiving TD (Basic),Rostered %,Rushing Attempts (Advanced),Rushing Yards (Advanced),Yards Before Contact,Yards Before Contact/Attempt,Yards After Contact,Yards After Contact/Attempt,Broken Tackles,Tackles for Loss,Tackles for Loss Yards,Longest TD Run,Runs 10+ Yards,Runs 20+ Yards (Advanced),Runs 30+ Yards,Runs 40+ Yards,Runs 50+ Yards,Receptions (Advanced),Targets (Advanced),Red Zone Targets,Yards After Contact (Advanced),yac,redzone_touches,goal_line_touches,relevent_snaps_played
Overall fantasy ranking for the player,Player name,Total fantasy points scored,Average fantasy points per game,Number of fumbles lost,Games played (advanced tracking),Player position,Unique player identifier,Season year,Yards per rushing attempt (basic),Rushing touchdowns (basic),Yards per reception (basic),Receiving touchdowns (basic),Rostered percentage,Rushing attempts (advanced),Rushing yards (advanced),Yards before contact,Yards before contact per attempt,Yards after contact,Yards after contact per attempt,Broken tackles,Tackles for loss,Tackles for loss yards,Longest touchdown run,Runs of 10+ yards,Runs of 20+ yards (advanced),Runs of 30+ yards,Runs of 40+ yards,Runs of 50+ yards,Receptions (advanced),Targets (advanced),Red zone targets,Yards after contact (advanced),Yards after catch (YAC),Red zone touches,Goal line touches,0.0
49.0,Chris Ivory (FA),94.5,8.6,3.0,11.0,RB,00-0027531,2016,3.8,3.0,9.3,0.0,0.0%,117.0,439,223.0,1.9,216.0,1.8,7.0,17.0,-43.0,2.0,13.0,2.0,2.0,2.0,0.0,20.0,28.0,0.0,65.0,189.0,14.0,9.0,145.0
50.0,Charcandrick West (FA),94.1,6.3,0.0,15.0,RB,00-0030668,2016,3.3,1.0,6.7,2.0,0.0%,88.0,293,92.0,1.0,201.0,2.3,6.0,12.0,-28.0,3.0,6.0,2.0,0.0,0.0,0.0,28.0,34.0,4.0,44.0,202.0,22.0,7.0,122.0
51.0,Travaris Cadet (FA),94.0,6.3,0.0,15.0,RB,00-0029205,2016,4.8,0.0,7.0,4.0,0.0%,4.0,19,17.0,4.3,2.0,0.5,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,40.0,54.0,6.0,65.0,196.0,11.0,3.0,58.0
53.0,Zach Zenner (FA),93.0,6.6,1.0,14.0,RB,00-0031665,2016,3.8,4.0,10.9,0.0,0.0%,88.0,334,70.0,0.8,264.0,3.0,9.0,14.0,-27.0,7.0,9.0,1.0,0.0,0.0,0.0,18.0,23.0,0.0,45.0,264.0,16.0,5.0,111.0
54.0,Jacquizz Rodgers (FA),90.8,9.1,0.0,10.0,RB,00-0028083,2016,4.3,2.0,7.5,0.0,0.0%,129.0,560,270.0,2.1,290.0,2.2,5.0,17.0,-30.0,3.0,16.0,3.0,1.0,1.0,0.0,13.0,16.0,2.0,21.0,90.0,17.0,4.0,145.0
55.0,Doug Martin (FA),85.5,10.7,1.0,8.0,RB,00-0029613,2016,2.9,3.0,9.6,0.0,0.0%,144.0,421,185.0,1.3,236.0,1.6,5.0,23.0,-48.0,2.0,9.0,0.0,0.0,0.0,0.0,14.0,16.0,0.0,25.0,107.0,24.0,9.0,160.0
56.0,DeAndre Washington (FA),85.2,6.1,1.0,14.0,RB,00-0032450,2016,5.4,2.0,6.8,0.0,0.0%,87.0,467,260.0,3.0,207.0,2.4,3.0,5.0,-9.0,22.0,11.0,7.0,1.0,0.0,0.0,17.0,23.0,0.0,20.0,71.0,9.0,4.0,110.0
57.0,Paul Perkins (FA),76.8,5.5,0.0,14.0,RB,00-0032417,2016,4.1,0.0,10.8,0.0,0.0%,112.0,456,256.0,2.3,200.0,1.8,3.0,5.0,-11.0,0.0,9.0,2.0,0.0,0.0,0.0,15.0,24.0,0.0,78.0,201.0,9.0,1.0,136.0
58.0,Rex Burkhead (FA),75.9,4.7,1.0,16.0,RB,00-0030288,2016,4.6,2.0,8.5,0.0,0.0%,74.0,344,158.0,2.1,186.0,2.5,6.0,7.0,-14.0,5.0,8.0,0.0,0.0,0.0,0.0,17.0,20.0,0.0,51.0,142.0,16.0,6.0,94.0
59.0,Thomas Rawls (FA),75.5,8.4,0.0,9.0,RB,00-0031897,2016,3.2,3.0,7.4,0.0,0.1%,109.0,349,147.0,1.3,202.0,1.9,10.0,16.0,-44.0,45.0,9.0,1.0,1.0,1.0,0.0,13.0,17.0,1.0,17.0,82.0,28.0,7.0,126.0
60.0,Matt Jones (FA),75.3,10.8,2.0,7.0,RB,00-0029293,2016,4.6,3.0,9.1,0.0,0.0%,99.0,460,156.0,1.6,304.0,3.1,6.0,10.0,-20.0,14.0,14.0,3.0,1.0,1.0,1.0,8.0,8.0,0.0,5.0,243.0,15.0,5.0,107.0
61.0,Kyle Juszczyk (SF),73.8,4.6,0.0,16.0,RB,00-0029892,2016,4.4,1.0,7.2,0.0,0.5%,5.0,22,9.0,1.8,13.0,2.6,1.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,37.0,49.0,0.0,70.0,216.0,8.0,3.0,54.0
62.0,Jeremy Langford (FA),73.2,6.1,2.0,12.0,RB,00-0031569,2016,3.2,4.0,7.5,0.0,0.0%,62.0,200,121.0,2.0,79.0,1.3,3.0,7.0,-16.0,1.0,4.0,1.0,0.0,0.0,0.0,19.0,27.0,0.0,30.0,130.0,9.0,7.0,89.0
63.0,Fozzy Whittaker (FA),72.1,4.5,1.0,16.0,RB,00-0029731,2016,4.6,0.0,9.0,0.0,0.0%,57.0,265,163.0,2.9,102.0,1.8,2.0,4.0,-7.0,0.0,7.0,1.0,0.0,0.0,0.0,25.0,33.0,0.0,62.0,238.0,7.0,0.0,90.0
64.0,Charles Sims (FA),67.9,9.7,1.0,7.0,RB,00-0031390,2016,2.9,1.0,7.9,1.0,0.0%,51.0,149,70.0,1.4,79.0,1.5,2.0,7.0,-21.0,1.0,3.0,1.0,0.0,0.0,0.0,24.0,32.0,0.0,73.0,175.0,6.0,3.0,83.0
65.0,Alfred Blue (FA),62.0,4.4,1.0,14.0,RB,00-0031075,2016,4.2,1.0,3.3,0.0,0.0%,100.0,420,234.0,2.3,186.0,1.9,3.0,6.0,-14.0,24.0,12.0,2.0,0.0,0.0,0.0,12.0,16.0,0.0,5.0,28.0,18.0,4.0,116.0
66.0,Justin Forsett (FA),61.6,6.8,1.0,9.0,RB,00-0026373,2016,3.3,1.0,4.3,0.0,0.0%,87.0,291,104.0,1.2,187.0,2.1,1.0,13.0,-26.0,1.0,3.0,1.0,1.0,1.0,1.0,20.0,27.0,0.0,21.0,100.0,9.0,1.0,114.0
67.0,C.J. Prosise (FA),61.0,10.2,0.0,6.0,RB,00-0032393,2016,5.7,1.0,12.2,0.0,0.0%,30.0,172,125.0,4.2,47.0,1.6,0.0,2.0,-8.0,72.0,2.0,1.0,1.0,1.0,1.0,17.0,19.0,1.0,17.0,111.0,10.0,2.0,49.0
68.0,James Starks (FA),58.9,6.5,0.0,9.0,RB,00-0027791,2016,2.3,0.0,7.1,2.0,0.0%,63.0,145,61.0,1.0,84.0,1.3,0.0,11.0,-24.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,25.0,1.0,27.0,162.0,11.0,3.0,88.0
69.0,Jamize Olawale (FA),57.4,3.6,0.0,16.0,RB,00-0029492,2016,2.8,2.0,18.9,1.0,0.0%,17.0,47,23.0,1.4,24.0,1.4,0.0,3.0,-7.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,14.0,1.0,75.0,168.0,8.0,4.0,31.0
70.0,John Kuhn (FA),56.7,3.5,0.0,16.0,RB,00-0022999,2016,2.1,4.0,4.4,1.0,0.0%,18.0,37,21.0,1.2,16.0,0.9,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,3.0,11.0,50.0,13.0,6.0,38.0
