Rank,Player,Fantasy Points,Fantasy Points/Game,Fumbles Lost,Games Played (Advanced),Position,player_id,Year,Yards/Attempt (Basic),Rushing TD (Basic),Yards/Reception (Basic),Receiving TD (Basic),Rostered %,Rushing Attempts (Advanced),Rushing Yards (Advanced),Yards Before Contact,Yards Before Contact/Attempt,Yards After Contact,Yards After Contact/Attempt,Broken Tackles,Tackles for Loss,Tackles for Loss Yards,Longest TD Run,Runs 10+ Yards,Runs 20+ Yards (Advanced),Runs 30+ Yards,Runs 40+ Yards,Runs 50+ Yards,Receptions (Advanced),Targets (Advanced),Red Zone Targets,Yards After Contact (Advanced),yac,redzone_touches,goal_line_touches,season_yprr,routes_run_yprr,yprr,season_routes,posteam,routes_run_routes,TPRR,relevent_snaps_played
Overall fantasy ranking for the player,Player name,Total fantasy points scored,Average fantasy points per game,Number of fumbles lost,Games played (advanced tracking),Player position,Unique player identifier,Season year,Yards per rushing attempt (basic),Rushing touchdowns (basic),Yards per reception (basic),Receiving touchdowns (basic),Rostered percentage,Rushing attempts (advanced),Rushing yards (advanced),Yards before contact,Yards before contact per attempt,Yards after contact,Yards after contact per attempt,Broken tackles,Tackles for loss,Tackles for loss yards,Longest touchdown run,Runs of 10+ yards,Runs of 20+ yards (advanced),Runs of 30+ yards,Runs of 40+ yards,Runs of 50+ yards,Receptions (advanced),Targets (advanced),Red zone targets,Yards after contact (advanced),Yards after catch (YAC),Red zone touches,Goal line touches,Season yards per route run (YPRR),Routes run YPRR,Yards per route run (YPRR),Season routes,Posteam,Routes run (routes),Targets per route run (TPRR),0.0
33.0,Isaiah Crowell (FA),137.8,8.6,0.0,16.0,RB,00-0030656,2015,3.8,4.0,9.6,1.0,0.1%,185.0,706,247.0,1.3,459.0,2.5,4.0,26.0,-67.0,11.0,17.0,5.0,3.0,2.0,2.0,19.0,22.0,1.0,92.0,227.0,32.0,7.0,,,,,,,,207.0
34.0,Bilal Powell (FA),135.1,12.3,0.0,11.0,RB,00-0028064,2015,4.5,1.0,8.3,2.0,0.0%,70.0,313,110.0,1.6,203.0,2.9,2.0,11.0,-22.0,12.0,11.0,3.0,0.0,0.0,0.0,47.0,63.0,7.0,138.0,420.0,14.0,0.0,2015.0,63.0,6.158730158730159,2015.0,NYJ,63.0,1.0,133.0
35.0,Charcandrick West (FA),132.8,8.9,1.0,15.0,RB,00-0030668,2015,4.0,4.0,10.7,1.0,0.0%,160.0,634,267.0,1.7,367.0,2.3,3.0,19.0,-42.0,38.0,11.0,4.0,3.0,0.0,0.0,20.0,34.0,9.0,35.0,252.0,37.0,9.0,2015.0,39.0,6.102564102564102,2015.0,KC,39.0,1.0,194.0
36.0,Thomas Rawls (FA),127.6,9.8,1.0,13.0,RB,00-0031897,2015,5.6,4.0,8.4,1.0,0.1%,147.0,830,348.0,2.4,482.0,3.3,8.0,9.0,-17.0,69.0,22.0,7.0,2.0,1.0,1.0,9.0,11.0,0.0,11.0,76.0,17.0,7.0,,,,,,,,158.0
37.0,Ryan Mathews (FA),124.5,9.6,3.0,13.0,RB,00-0027864,2015,5.1,6.0,7.3,1.0,0.0%,106.0,539,267.0,2.5,272.0,2.6,2.0,9.0,-25.0,63.0,14.0,6.0,2.0,1.0,1.0,20.0,28.0,1.0,50.0,152.0,18.0,6.0,,,,,,,,134.0
38.0,Karlos Williams (FA),124.3,11.3,1.0,11.0,RB,00-0032152,2015,5.6,7.0,8.7,2.0,0.6%,93.0,517,249.0,2.7,268.0,2.9,7.0,10.0,-22.0,41.0,16.0,5.0,2.0,1.0,0.0,11.0,14.0,2.0,7.0,7.0,7.0,3.0,,,,,,,,107.0
39.0,James White (FA),122.6,8.8,0.0,14.0,RB,00-0031062,2015,2.5,2.0,10.3,4.0,0.1%,22.0,56,31.0,1.4,25.0,1.1,0.0,2.0,-5.0,6.0,0.0,0.0,0.0,0.0,0.0,40.0,54.0,6.0,60.0,403.0,18.0,4.0,2015.0,73.0,6.767123287671233,2015.0,NE,73.0,1.0,76.0
40.0,LeGarrette Blount (FA),122.6,10.2,0.0,12.0,RB,00-0027325,2015,4.3,6.0,7.2,1.0,0.1%,165.0,703,284.0,1.7,419.0,2.5,4.0,10.0,-27.0,38.0,18.0,4.0,2.0,0.0,0.0,6.0,7.0,2.0,10.0,31.0,34.0,11.0,,,,,,,,172.0
41.0,Justin Forsett (FA),122.4,12.2,0.0,10.0,RB,00-0026373,2015,4.2,2.0,4.9,0.0,0.0%,151.0,641,317.0,2.1,324.0,2.1,6.0,23.0,-43.0,14.0,19.0,5.0,1.0,0.0,0.0,31.0,41.0,5.0,21.0,140.0,24.0,5.0,2015.0,42.0,3.642857142857143,2015.0,BAL,42.0,0.9761904761904762,192.0
42.0,Dion Lewis (FA),120.2,17.2,1.0,7.0,RB,00-0028087,2015,4.8,2.0,10.8,2.0,0.0%,49.0,234,71.0,1.4,163.0,3.3,4.0,4.0,-18.0,8.0,8.0,0.0,0.0,0.0,0.0,36.0,50.0,5.0,102.0,340.0,17.0,1.0,2015.0,50.0,7.76,2015.0,NE,50.0,1.0,99.0
43.0,Ameer Abdullah (SF),117.0,7.3,2.0,16.0,RB,00-0032104,2015,4.2,2.0,7.3,1.0,0.1%,143.0,597,277.0,1.9,320.0,2.2,2.0,18.0,-46.0,24.0,14.0,4.0,1.0,0.0,0.0,25.0,38.0,5.0,47.0,203.0,18.0,3.0,2015.0,38.0,4.815789473684211,2015.0,DET,38.0,1.0,181.0
44.0,Matt Jones (FA),114.4,8.8,4.0,13.0,RB,00-0029293,2015,3.4,3.0,16.0,1.0,0.0%,144.0,490,172.0,1.2,318.0,2.2,8.0,24.0,-52.0,39.0,12.0,3.0,1.0,0.0,0.0,19.0,25.0,2.0,131.0,289.0,13.0,1.0,2015.0,110.0,7.709090909090909,2015.0,CIN,110.0,1.0,169.0
45.0,Antonio Andrews (FA),112.0,8.0,1.0,14.0,RB,00-0030789,2015,3.6,3.0,8.3,0.0,0.0%,143.0,520,166.0,1.2,354.0,2.5,4.0,18.0,-28.0,8.0,12.0,4.0,1.0,0.0,0.0,21.0,29.0,0.0,67.0,175.0,19.0,6.0,,,,,,,,172.0
46.0,Alfred Blue (FA),111.7,7.0,1.0,16.0,RB,00-0031075,2015,3.8,2.0,7.3,1.0,0.0%,183.0,698,299.0,1.6,399.0,2.2,6.0,16.0,-28.0,20.0,17.0,2.0,1.0,1.0,0.0,15.0,16.0,1.0,16.0,68.0,24.0,6.0,,,,,,,,199.0
47.0,Le'Veon Bell (FA),111.2,18.5,0.0,6.0,RB,00-0030496,2015,4.9,3.0,5.7,0.0,0.2%,113.0,556,177.0,1.6,379.0,3.4,4.0,15.0,-38.0,11.0,13.0,8.0,2.0,1.0,0.0,24.0,26.0,4.0,37.0,139.0,18.0,4.0,,,,,,,,139.0
49.0,Chris Johnson (FA),107.2,9.7,2.0,11.0,RB,00-0025389,2015,4.2,3.0,9.7,0.0,0.1%,196.0,814,309.0,1.6,505.0,2.6,11.0,24.0,-48.0,26.0,16.0,6.0,3.0,2.0,1.0,6.0,13.0,2.0,7.0,296.0,18.0,7.0,2015.0,149.0,8.14765100671141,2015.0,DET,149.0,1.0,209.0
50.0,Joique Bell (FA),105.7,8.1,0.0,13.0,RB,00-0027218,2015,3.5,4.0,13.0,0.0,0.2%,90.0,311,93.0,1.0,218.0,2.4,3.0,12.0,-17.0,1.0,10.0,2.0,2.0,0.0,0.0,22.0,27.0,0.0,113.0,305.0,19.0,10.0,,,,,,,,117.0
51.0,Jamaal Charles (FA),101.1,20.2,2.0,5.0,RB,00-0026213,2015,5.1,4.0,8.4,1.0,0.1%,71.0,364,198.0,2.8,166.0,2.3,0.0,4.0,-8.0,34.0,12.0,2.0,1.0,0.0,0.0,21.0,30.0,4.0,34.0,205.0,14.0,3.0,2015.0,30.0,5.9,2015.0,KC,30.0,1.0,101.0
