Player,Year,Position,Team,Games Played,Fantasy Points,PPG,Targets,Receptions,Carries,Touchdowns,Air Yards,YAC,Routes Run,Red Zone Touches,Goal Line Touches
Adam Thielen (CAR),2017,WR,MIN,16.0,239.7,15.0,142.0,91.0,,4.0,,454.0,160.0,20.0,4.0
Michael Crabtree (FA),2016,WR,LV,16.0,239.3,15.0,145.0,89.0,,8.0,,267.0,154.0,24.0,8.0
Tyreek Hill (MIA),2017,WR,KC,15.0,239.2,15.9,105.0,75.0,,7.0,,533.0,116.0,6.0,1.0
T.Y. Hilton (FA),2018,WR,IND,14.0,239.0,17.1,120.0,76.0,,6.0,,479.0,141.0,18.0,8.0
DJ Moore (CHI),2024,WR,CAR,17.0,238.1,14.0,140.0,98.0,,6.0,,60.0,57.0,12.0,3.0
Jarvis Landry (FA),2019,WR,CLE,16.0,237.4,14.8,138.0,83.0,,6.0,,436.0,138.0,21.0,6.0
Tyler Lockett (TEN),2022,WR,SEA,16.0,237.3,14.8,117.0,84.0,,9.0,,278.0,125.0,10.0,1.0
Amari Cooper (FA),2021,WR,DAL,15.0,236.8,14.8,104.0,68.0,,5.0,,232.0,114.0,21.0,4.0
Amari Cooper (FA),2020,WR,DAL,16.0,236.8,14.8,130.0,92.0,,5.0,,413.0,130.0,17.0,9.0
Tyler Lockett (TEN),2019,WR,SEA,16.0,235.2,14.7,110.0,82.0,,8.0,,333.0,128.0,28.0,4.0
JuJu Smith-Schuster (KC),2020,WR,PIT,16.0,234.1,14.6,128.0,97.0,,9.0,,450.0,149.0,24.0,7.0
JuJu Smith-Schuster (KC),2021,WR,PIT,5.0,234.1,14.6,28.0,15.0,,9.0,,83.0,36.0,1.0,1.0
Robert Woods (PIT),2019,WR,LA,15.0,232.9,15.5,139.0,90.0,,2.0,,576.0,139.0,14.0,2.0
Mike Evans (TB),2019,WR,TB,13.0,232.7,17.9,118.0,67.0,,8.0,,261.0,119.0,19.0,9.0
Amari Cooper (FA),2016,WR,LV,16.0,232.3,14.5,132.0,83.0,,5.0,,438.0,145.0,16.0,9.0
Brandin Cooks (NO),2021,WR,HOU,16.0,232.0,15.5,134.0,90.0,,6.0,,342.0,134.0,10.0,1.0
Brandin Cooks (NO),2020,WR,HOU,15.0,232.0,15.5,119.0,81.0,,6.0,,338.0,119.0,11.0,3.0
Jarvis Landry (FA),2016,WR,MIA,16.0,231.3,14.5,131.0,94.0,,4.0,,664.0,147.0,12.0,2.0
Chris Olave (NO),2023,WR,NO,16.0,231.3,14.5,138.0,87.0,,5.0,,347.0,139.0,13.0,3.0
Michael Crabtree (FA),2015,WR,LV,16.0,231.2,14.5,146.0,85.0,,9.0,,263.0,146.0,13.0,4.0
Adam Thielen (CAR),2023,WR,CAR,17.0,231.0,13.6,137.0,103.0,,4.0,,340.0,138.0,17.0,4.0
Jordan Matthews (FA),2015,WR,PHI,16.0,230.7,14.4,128.0,85.0,,8.0,,414.0,128.0,15.0,4.0
DJ Moore (CHI),2019,WR,SEA,15.0,230.5,15.4,135.0,87.0,,4.0,,170.0,38.0,8.0,1.0
Odell Beckham Jr. (FA),2018,WR,,12.0,230.4,19.2,124.0,77.0,,6.0,,,,,
Julian Edelman (FA),2016,WR,NE,16.0,230.3,14.4,159.0,98.0,,3.0,,612.0,196.0,20.0,6.0
Calvin Ridley (TEN),2023,WR,JAX,17.0,229.9,13.5,136.0,76.0,,8.0,,194.0,137.0,29.0,6.0
Terry McLaurin (WAS),2022,WR,WAS,17.0,229.0,13.5,120.0,77.0,,5.0,,382.0,120.0,14.0,1.0
Brandon Aiyuk (SF),2022,WR,SF,17.0,227.8,13.4,114.0,78.0,,8.0,,399.0,124.0,17.0,2.0
Marvin Jones Jr. (FA),2021,WR,,17.0,227.8,14.2,120.0,73.0,,9.0,,,,,
Marvin Jones Jr. (FA),2020,WR,,16.0,227.8,14.2,115.0,76.0,,9.0,,,,,
DeVonta Smith (PHI),2023,WR,PHI,16.0,227.6,14.2,112.0,81.0,,7.0,,0.0,125.0,8.0,3.0
Amari Cooper (FA),2023,WR,CLE,15.0,227.0,15.1,128.0,72.0,,5.0,,278.0,135.0,16.0,3.0
A.J. Green (FA),2017,WR,CIN,16.0,226.8,14.2,143.0,75.0,,8.0,,297.0,143.0,16.0,1.0
DK Metcalf (PIT),2022,WR,SEA,17.0,226.8,13.3,141.0,90.0,,6.0,,261.0,156.0,32.0,6.0
Demaryius Thomas (FA),2016,WR,DEN,16.0,226.3,14.1,144.0,90.0,,5.0,,322.0,145.0,22.0,9.0
DJ Chark Jr. (ATL),2019,WR,,15.0,225.8,15.1,118.0,73.0,,8.0,,,,,
DK Metcalf (PIT),2023,WR,SEA,16.0,225.4,14.1,119.0,66.0,,8.0,,367.0,119.0,23.0,4.0
Mike Evans (TB),2022,WR,TB,15.0,225.4,15.0,127.0,77.0,,6.0,,233.0,140.0,16.0,6.0
Allen Hurns (FA),2015,WR,JAX,15.0,225.1,15.0,105.0,64.0,,10.0,,347.0,106.0,16.0,5.0
Marvin Jones Jr. (FA),2017,WR,,16.0,225.1,14.1,107.0,61.0,,9.0,,,,,
Golden Tate (FA),2017,WR,DET,16.0,224.5,14.0,120.0,92.0,,5.0,,613.0,120.0,8.0,2.0
Emmanuel Sanders (FA),2015,WR,DEN,15.0,224.4,15.0,137.0,76.0,,6.0,,433.0,161.0,11.0,1.0
Robbie Chosen (FA),2021,WR,,17.0,224.1,14.0,110.0,53.0,,3.0,,,,,
Robbie Chosen (FA),2020,WR,,16.0,224.1,14.0,136.0,95.0,,3.0,,,,,
Terry McLaurin (WAS),2020,WR,WAS,15.0,223.8,14.9,134.0,87.0,,4.0,,487.0,142.0,15.0,5.0
Terry McLaurin (WAS),2021,WR,WAS,17.0,223.8,14.9,130.0,77.0,,4.0,,307.0,130.0,9.0,2.0
DeAndre Hopkins (BAL),2023,WR,TEN,17.0,223.6,13.2,137.0,75.0,,7.0,,223.0,137.0,20.0,2.0
Doug Baldwin (FA),2017,WR,SEA,16.0,223.3,14.0,116.0,75.0,,8.0,,274.0,117.0,9.0,3.0
Tee Higgins (CIN),2022,WR,CIN,15.0,223.2,14.9,110.0,75.0,,7.0,,320.0,132.0,16.0,7.0
Golden Tate (FA),2016,WR,DET,16.0,223.1,13.9,135.0,91.0,,4.0,,627.0,141.0,20.0,3.0
Tyler Boyd (FA),2019,WR,CIN,16.0,222.9,13.9,148.0,90.0,,5.0,,348.0,148.0,11.0,4.0
Chris Godwin (TB),2022,WR,TB,15.0,222.8,14.9,142.0,104.0,,3.0,,563.0,159.0,22.0,7.0
Davante Adams (LAR),2017,WR,GB,14.0,222.5,15.9,117.0,74.0,,10.0,,338.0,118.0,24.0,4.0
Tyler Lockett (TEN),2018,WR,SEA,16.0,222.4,13.9,70.0,57.0,,10.0,,241.0,77.0,8.0,1.0
Courtland Sutton (DEN),2019,WR,DEN,16.0,222.4,13.9,124.0,72.0,,6.0,,352.0,124.0,21.0,3.0
Tee Higgins (CIN),2024,WR,CIN,12.0,222.1,18.5,109.0,73.0,,10.0,,228.0,110.0,25.0,11.0
Diontae Johnson (CLE),2021,WR,HOU,16.0,221.8,14.8,169.0,107.0,,7.0,,191.0,42.0,14.0,1.0
Diontae Johnson (CLE),2020,WR,PIT,15.0,221.8,14.8,144.0,88.0,,7.0,,116.0,106.0,13.0,5.0
Jordan Addison (MIN),2023,WR,MIN,17.0,221.3,13.0,108.0,70.0,,10.0,,262.0,108.0,18.0,3.0
Brandin Cooks (NO),2017,WR,NE,16.0,221.2,13.8,114.0,65.0,,7.0,,257.0,134.0,18.0,6.0
Tyler Boyd (FA),2018,WR,CIN,14.0,221.1,15.8,108.0,76.0,,7.0,,418.0,108.0,10.0,1.0
John Brown (FA),2019,WR,BUF,15.0,219.8,14.7,115.0,72.0,,6.0,,59.0,123.0,6.0,1.0
Sammy Watkins (FA),2015,WR,BUF,13.0,218.8,16.8,96.0,60.0,,9.0,,179.0,96.0,7.0,3.0
Jakobi Meyers (LV),2023,WR,LV,16.0,218.6,13.7,106.0,71.0,,8.0,,242.0,106.0,19.0,4.0
