Player,Year,Position,Team,Games Played,Fantasy Points,PPG,Targets,Receptions,Carries,Touchdowns,Air Yards,YAC,Routes Run,Red Zone Touches,Goal Line Touches
Jonnu Smith (PIT),2020,TE,TEN,15.0,140.2,9.3,65.0,41.0,,8.0,,240.0,69.0,20.0,9.0
Jason Witten (FA),2019,TE,DAL,16.0,139.9,8.7,83.0,63.0,,4.0,,162.0,85.0,12.0,6.0
Gerald Everett (FA),2022,TE,LAC,15.0,139.5,9.3,87.0,58.0,,4.0,,401.0,96.0,19.0,6.0
Tyler Conklin (LAC),2021,TE,MIN,17.0,138.3,8.1,87.0,61.0,,3.0,,326.0,87.0,16.0,3.0
Coby Fleener (FA),2016,TE,NO,16.0,137.3,8.6,81.0,50.0,,3.0,,212.0,82.0,20.0,6.0
Kyle Pitts Sr. (ATL),2023,TE,,17.0,137.3,8.1,90.0,53.0,,3.0,,,,,
Benjamin Watson (FA),2017,TE,BAL,16.0,137.2,8.6,79.0,61.0,,4.0,,263.0,80.0,14.0,4.0
Dallas Goedert (PHI),2023,TE,PHI,14.0,136.3,9.7,83.0,59.0,,3.0,,326.0,89.0,12.0,2.0
Charles Clay (FA),2016,TE,BUF,15.0,136.2,9.1,87.0,57.0,,4.0,,192.0,87.0,14.0,1.0
Mike Gesicki (CIN),2019,TE,MIA,16.0,136.0,8.5,89.0,51.0,,5.0,,175.0,89.0,11.0,1.0
Dawson Knox (BUF),2022,TE,BUF,15.0,135.7,9.0,65.0,48.0,,6.0,,216.0,77.0,14.0,3.0
Mark Andrews (BAL),2023,TE,BAL,10.0,135.4,13.5,61.0,45.0,,6.0,,217.0,63.0,15.0,5.0
Juwan Johnson (NO),2022,TE,NO,16.0,134.8,8.4,65.0,42.0,,7.0,,7.0,65.0,1.0,0.0
C.J. Fiedorowicz (FA),2016,TE,HOU,15.0,133.9,8.9,89.0,54.0,,4.0,,235.0,98.0,14.0,3.0
Darren Waller (MIA),2021,TE,LV,11.0,133.5,12.1,93.0,55.0,,2.0,,258.0,105.0,18.0,2.0
Vance McDonald (FA),2018,TE,PIT,15.0,133.0,8.9,72.0,50.0,,4.0,,387.0,72.0,10.0,3.0
Jared Cook (FA),2017,TE,LV,16.0,132.8,8.3,86.0,54.0,,2.0,,241.0,86.0,9.0,2.0
Jared Cook (FA),2021,TE,LAC,16.0,132.4,8.3,83.0,48.0,,4.0,,238.0,85.0,15.0,6.0
Eric Ebron (FA),2017,TE,DET,16.0,132.4,8.3,86.0,53.0,,4.0,,258.0,86.0,12.0,2.0
Tyler Conklin (LAC),2022,TE,NYJ,17.0,131.5,7.7,87.0,58.0,,3.0,,284.0,87.0,5.0,2.0
Kyle Pitts Sr. (ATL),2024,TE,,17.0,131.2,7.7,74.0,47.0,,4.0,,,,,
Rob Gronkowski (FA),2018,TE,NE,13.0,131.2,10.1,72.0,47.0,,3.0,,264.0,91.0,9.0,1.0
Eric Ebron (FA),2015,TE,DET,14.0,130.7,9.3,70.0,47.0,,5.0,,291.0,70.0,8.0,2.0
Jacob Tamme (FA),2015,TE,ATL,15.0,130.7,8.7,81.0,59.0,,1.0,,196.0,81.0,8.0,1.0
Jimmy Graham (FA),2018,TE,GB,16.0,130.6,8.2,89.0,55.0,,2.0,,261.0,89.0,9.0,4.0
Gary Barnidge (FA),2016,TE,CLE,16.0,130.2,8.1,82.0,55.0,,2.0,,240.0,83.0,6.0,3.0
Hunter Henry (NE),2016,TE,LAC,15.0,129.8,8.7,53.0,36.0,,8.0,,194.0,54.0,18.0,3.0
Kyle Rudolph (FA),2015,TE,MIN,16.0,128.5,8.0,73.0,49.0,,5.0,,219.0,74.0,11.0,5.0
C.J. Uzomah (FA),2021,TE,CIN,16.0,128.3,8.0,63.0,49.0,,5.0,,380.0,81.0,10.0,2.0
Tyler Higbee (LAR),2020,TE,LA,15.0,128.2,8.5,60.0,44.0,,5.0,,238.0,66.0,7.0,5.0
Heath Miller (FA),2015,TE,PIT,15.0,127.7,8.5,81.0,60.0,,2.0,,217.0,88.0,15.0,4.0
Jared Cook (FA),2020,TE,NO,15.0,127.4,8.5,60.0,37.0,,7.0,,147.0,74.0,16.0,1.0
Hunter Henry (NE),2017,TE,LAC,14.0,126.9,9.1,62.0,45.0,,4.0,,221.0,62.0,12.0,2.0
Logan Thomas (FA),2023,TE,WAS,16.0,126.8,7.9,78.0,55.0,,4.0,,229.0,79.0,10.0,6.0
Evan Engram (DEN),2018,TE,NYG,11.0,126.3,11.5,64.0,45.0,,3.0,,388.0,65.0,9.0,3.0
George Kittle (SF),2020,TE,SF,8.0,125.1,15.6,63.0,48.0,,2.0,,297.0,64.0,6.0,2.0
Tyler Kroft (FA),2017,TE,CIN,16.0,124.4,7.8,62.0,42.0,,7.0,,193.0,62.0,12.0,7.0
Jonnu Smith (PIT),2023,TE,ATL,17.0,124.2,7.3,70.0,50.0,,3.0,,357.0,70.0,10.0,5.0
Greg Olsen (FA),2019,TE,CAR,14.0,123.7,8.8,82.0,52.0,,2.0,,201.0,83.0,15.0,5.0
Isaiah Likely (BAL),2024,TE,BAL,16.0,123.7,7.7,58.0,42.0,,6.0,,297.0,68.0,14.0,3.0
Tyler Conklin (LAC),2023,TE,NYJ,17.0,123.1,7.2,87.0,61.0,,0.0,,246.0,87.0,9.0,1.0
Coby Fleener (FA),2015,TE,IND,16.0,123.1,7.7,84.0,54.0,,3.0,,178.0,85.0,12.0,3.0
Juwan Johnson (NO),2024,TE,NO,17.0,122.8,7.2,66.0,50.0,,3.0,,212.0,68.0,1.0,0.0
Noah Fant (CIN),2022,TE,SEA,17.0,122.6,7.2,63.0,50.0,,4.0,,232.0,65.0,10.0,2.0
Tyler Conklin (LAC),2024,TE,NYJ,16.0,121.9,7.6,72.0,51.0,,4.0,,262.0,73.0,10.0,6.0
Vernon Davis (FA),2017,TE,WAS,16.0,121.8,7.6,69.0,43.0,,3.0,,306.0,69.0,9.0,1.0
Charles Clay (FA),2015,TE,BUF,13.0,121.8,9.4,77.0,51.0,,3.0,,237.0,77.0,3.0,0.0
Julius Thomas (FA),2015,TE,JAX,12.0,121.5,10.1,80.0,46.0,,5.0,,145.0,82.0,11.0,6.0
Cole Kmet (CHI),2021,TE,CHI,17.0,121.2,7.1,93.0,60.0,,0.0,,246.0,93.0,15.0,2.0
