Player,Year,Position,Team,Games Played,Fantasy Points,Fantasy PPG,Targets,Receptions,Carries,TDs,Air Yards,YAC,Routes Run,Red Zone Touches,Goal Line Touches
James Conner (ARI),2024,RB,,16.0,253.8,15.9,55.0,47.0,236.0,9.0,,,,59.0,
Brandin Cooks (NO),2015,WR,NO,16.0,253.6,15.9,129.0,84.0,18.0,9.0,,,,10.0,
Doug Baldwin (FA),2016,WR,SEA,16.0,253.6,15.9,125.0,94.0,2.0,7.0,,,,23.0,
Jaxon Smith-Njigba (SEA),2024,WR,SEA,17.0,253.0,14.9,137.0,100.0,26.0,6.0,,,,16.0,
Jonathan Taylor (IND),2020,RB,,15.0,252.8,16.9,40.0,36.0,232.0,12.0,,,,5.0,
Eric Decker (FA),2015,WR,NYJ,15.0,252.7,16.8,132.0,80.0,0.0,12.0,,,,29.0,
Ezekiel Elliott (FA),2021,RB,,17.0,252.1,14.8,65.0,47.0,237.0,12.0,,,,59.0,
Julio Jones (FA),2017,WR,,16.0,251.9,15.7,148.0,88.0,15.0,3.0,,,,,
Garrett Wilson (NYJ),2024,WR,NYJ,17.0,251.9,14.8,154.0,101.0,5.0,7.0,,,,25.0,
Melvin Gordon III (FA),2016,RB,,13.0,250.6,19.3,57.0,41.0,254.0,12.0,,,,,
James Robinson (FA),2020,RB,,14.0,250.4,17.9,60.0,49.0,240.0,10.0,,,,40.0,
Michael Pittman Jr. (IND),2023,WR,,16.0,250.2,15.6,156.0,109.0,0.0,4.0,,,,,
Trey McBride (ARI),2024,TE,ARI,16.0,249.8,15.6,147.0,111.0,nan,2.0,,,,23.0,
Brandon Aiyuk (SF),2023,WR,SF,16.0,249.2,15.6,105.0,75.0,0.0,7.0,,,,12.0,
Rhamondre Stevenson (NE),2022,RB,,17.0,249.1,14.7,88.0,69.0,210.0,6.0,,,,41.0,
Tony Pollard (TEN),2022,RB,,16.0,248.8,15.6,55.0,39.0,193.0,12.0,,,,34.0,
Mike Evans (TB),2020,WR,TB,16.0,248.6,15.5,109.0,70.0,0.0,13.0,,,,24.0,
Aaron Jones Sr. (MIN),2022,RB,,17.0,248.6,14.6,72.0,59.0,213.0,7.0,,,,,
Mike Evans (TB),2021,WR,TB,16.0,248.6,15.5,114.0,74.0,0.0,13.0,,,,25.0,
Alvin Kamara (NO),2019,RB,,14.0,248.5,17.8,97.0,81.0,171.0,6.0,,,,41.0,
Kenny Golladay (FA),2019,WR,DET,16.0,248.0,15.5,116.0,65.0,0.0,11.0,,,,17.0,
A.J. Brown (PHI),2021,WR,TB,13.0,247.5,17.7,105.0,63.0,0.0,11.0,,,,3.0,
A.J. Brown (PHI),2020,WR,TB,14.0,247.5,17.7,106.0,70.0,0.0,11.0,,,,9.0,
Amari Cooper (FA),2022,WR,CLE,17.0,247.0,14.5,132.0,78.0,0.0,9.0,,,,19.0,
Derrick Henry (BAL),2023,RB,,17.0,246.7,14.5,36.0,28.0,280.0,12.0,,,,39.0,
Davante Adams (LAR),2016,WR,GB,16.0,246.7,15.4,121.0,75.0,0.0,12.0,,,,29.0,
